<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
Z,D,20170824,38.73,38.85,38,38.48,1151100
ZAGG,D,20170824,11.2,11.35,10.95,11.1,351100
ZAIS,D,20170824,1.99,2.05,1.95,2.02,9800
ZBIO,D,20170824,13.14,13.27,12.74,12.78,7800
ZBRA,D,20170824,103,103.6,102.25,102.48,252900
ZEAL,D,20170824,18.4,18.75,18.4,18.54,93300
ZEUS,D,20170824,17.42,17.78,17.07,17.17,167000
ZFGN,D,20170824,3.47,3.6,3.46,3.53,51500
ZG,D,20170824,39.01,39.11,38.29,38.81,527700
ZGNX,D,20170824,12.15,12.55,12.1,12.3,177600
ZION,D,20170824,44.21,44.46,43.98,44.38,1215800
ZIOP,D,20170824,5.38,5.75,5.38,5.72,1086500
ZIV,D,20170824,72.11,72.38,70.5,71.02,228800
ZIXI,D,20170824,5.19,5.25,5.18,5.23,56500
ZN,D,20170824,3.52,3.54,3.08,3.1,1535700
ZNGA,D,20170824,3.6,3.68,3.6,3.67,5192900
ZSAN,D,20170824,0.82,0.84,0.76,0.84,424500
ZUMZ,D,20170824,12.35,13.2,12.31,13,779700
ZYNE,D,20170824,6,6.29,5.65,6.16,771300
