<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
TGTX,D,20170824,11.65,12.025,11.55,11.95,1086100
THFF,D,20170824,43.4,43.4,42.5,42.8,31000
THRM,D,20170824,30.3,30.425,30.05,30.2,131700
THST,D,20170824,2.1,2.19,2.1,2.1,9000
TICC,D,20170824,6.72,6.74,6.67,6.67,117900
TICCL,D,20170824,26.02,26.04,25.75,25.85,15800
TIG,D,20170824,22.09,22.49,22.09,22.23,1200
TIL,D,20170824,3.9,3.9,3.9,3.9,0
TILE,D,20170824,18.75,19.175,18.75,19.05,388500
TIPT,D,20170824,6,6.15,6,6.1,38300
TISA,D,20170824,1.14,1.17,1.13,1.14,11900
TITN,D,20170824,15.94,16.02,15.75,15.79,53300
TIVO,D,20170824,18.55,18.55,17.925,18.05,348100
TLF,D,20170824,8.26,8.26,8.25,8.25,2100
TLGT,D,20170824,6.41,6.52,6.33,6.48,259700
TLND,D,20170824,38.56,38.84,38.04,38.53,39800
TLT,D,20170824,126.88,127.31,126.72,126.83,5569400
TMUS,D,20170824,63.96,64.32,63.73,63.97,2115700
TMUSP,D,20170824,103.85,104.56,103.85,104.23,3600
TNAV,D,20170824,6.25,6.3,6.2,6.3,39700
TNDM,D,20170824,0.709,0.749,0.675,0.682,855600
TNTR,D,20170824,5.44,5.88,5.42,5.75,204800
TNXP,D,20170824,3.31,3.72,3.29,3.67,254100
TOCA,D,20170824,12.36,13.13,12.03,12.87,53100
TOPS,D,20170824,1.03,1.05,0.97,0.99,1751200
TORM,D,20170824,7.92,7.92,7.92,7.92,0
TOUR,D,20170824,6.88,7.16,6.85,7.1,266200
TOWN,D,20170824,30.95,30.95,30.5,30.8,61100
TPIC,D,20170824,20.14,20.42,19.9,20.05,234100
TPIV,D,20170824,2.95,3.07,2.9,3.02,21400
TQQQ,D,20170824,108.68,109.1,105.1,106.99,4049100
TRCB,D,20170824,18.2,18.32,17.99,18.32,4600
TRCH,D,20170824,1.05,1.05,1.03,1.03,51600
TREE,D,20170824,225.95,228.63,222.85,225.7,59900
TRHC,D,20170824,20,20.01,19.52,19.98,81600
TRIB,D,20170824,5.41,5.58,5.25,5.31,56800
TRIL,D,20170824,4.4,4.5,4.3,4.45,20100
TRIP,D,20170824,42,43.86,42,43.32,4618900
TRMB,D,20170824,37.9,38.13,37.85,38.01,643700
TRMK,D,20170824,30.09,30.09,29.75,29.99,97600
TRNC,D,20170824,13.45,14.33,13.45,14.28,120800
TRNS,D,20170824,12.75,12.75,12.75,12.75,400
TROV,D,20170824,0.82,0.855,0.8,0.8,158100
TROW,D,20170824,83.19,83.19,82.38,82.46,1212400
TRPX,D,20170824,5.97,5.99,5.75,5.75,24800
TRS,D,20170824,24.1,24.1,23.8,23.9,85400
TRST,D,20170824,7.95,7.95,7.85,7.9,106000
TRUE,D,20170824,16.45,16.8,16.33,16.48,549300
TRUP,D,20170824,22.56,22.56,22.17,22.27,153200
TRVG,D,20170824,15.42,15.7,14.85,15.26,972000
TRVN,D,20170824,2.35,2.46,2.33,2.41,295800
TSBK,D,20170824,27.17,27.21,27.08,27.15,4100
TSC,D,20170824,21.1,21.15,20.85,21.1,45200
TSCO,D,20170824,57.51,58.72,57.32,57.69,3334600
TSEM,D,20170824,28.31,28.39,27.78,27.92,578100
TSG,D,20170824,17.75,18,17.55,17.6,83000
TSLA,D,20170824,352.52,356.66,349.74,352.93,4584600
TSRI,D,20170824,4.275,4.3,4.25,4.255,3000
